;Adresse;CP;Ville;Nutella;Riz;Pates;Beurre;Caprice des dieux;Papier toilette;Pain de mie
520; 3 Rue Pierre Curtil;02190;Guignicourt ;4.65;1.65;1.59;2.21;2.99;2.29;1.29
521; 3 Rue St Aubert;59400;Cambrai ;4.99;2.14;1.82;3.53;3.25;2.21;1.3
522; 3-5 Rue Cordouan;17000;La Rochelle ;5.21;1.97;1.91;2.86;3.32;2.15;1.51
523; 3/5 Avenue Pasteur;06600;Antibes ;4.89;;1.65;;3.29;2.69;1.39
524; 30 Avenue De La Marseillaise;67000;Strasbourg ;5.29;1.85;1.99;2.7;;2.5;1.35
525; 30 Avenue De Verdun;34120;Pézenas ;4.65;1.59;;2.21;2.99;2.15;1.25
526; 30 Rue D'amiens;60200;Compiègne ;5.15;2.14;;2.98;3.25;2.22;1.3
527; 30 Rue De Turenne;76600;Le Havre ;4.79;1.65;1.59;2.49;2.99;2.29;1.35
528; 30 Rue Du Bouloir;27140;Gisors ;4.65;1.49;1.55;;2.95;2.09;1.25
529; 300 Rue Du General Renault;37000;Tours ;4.65;1.59;1.55;;2.95;;1.25
530; 305 Rue St Jacques;75005;Paris ;5.71;1.87;;3.04;3.82;2.51;1.52
531; 306 Route De Seysses;31100;Toulouse ;5.68;1.95;;3.15;;;1.45
532; 307 Avenue Du Comte Vert 0;73000;Chambéry ;;1.97;;2.86;;;1.51
533; 309 Avenue Georges Durand;72100;Le Mans ;4.6;;1.55;2.39;2.89;1.89;1.25
534; 30b Bld De La Mothe;54000;Nancy ;;;;;3.6;;
535; 31 Rue Charles De Gaulle;42000;Saint-Étienne ;5.07;1.97;1.93;2.86;;2.15;1.51
536; 31 Rue De Neufchatel;51100;Reims ;4.65;1.59;;2.21;2.99;2.29;1.35
537; 31 Rue De Rennes Cc La Flume;35850;Gévezé ;4.65;1.49;1.39;2.39;2.95;2.15;1.25
538; 31 Rue Lepante;06000;Nice ;5.26;2.01;2.03;2.95;;2.2;1.72
539; 310 Avenue Du General De Gaulle;92140;Clamart ;;1.59;1.55;;2.99;2.15;1.25
540; 32 Avenue Laumiere;75019;Paris ;5.54;2.03;2.16;;3.66;2.32;1.64
541; 32 Rue Boeynaems;59158;Mortagne-du-Nord ;4.85;2.0;1.7;;2.97;2.08;1.22
542; 32 Rue Pierre Yvernogeau;44300;Nantes ;5.13;1.79;1.95;3.0;3.2;2.45;1.3
543; 32-34 Rue De Marseille;69007;Lyon ;5.02;2.16;1.84;;3.1;;
544; 3256 Route Nationale 8 Quartier Quiez;83190;Ollioules ;4.65;1.59;1.43;;2.99;2.15;1.25
545; 32place De La Mairie Bp 7;74310;Les Houches ;4.99;1.96;;;;2.12;
546; 33 Rue De Fremicourt;75015;Paris ;5.78;1.9;1.92;2.85;3.66;2.32;1.64
547; 33 Rue Du Saut Du Cerf;88000;Jeuxey ;4.6;1.49;1.55;;2.99;1.99;1.25
548; 33 Rue Vergniaud;75013;Paris ;5.54;2.03;2.16;2.85;3.66;2.32;1.64
549; 332 Avenue Du Mal Juin;34200;Sète ;4.79;1.65;1.45;2.35;2.99;2.29;
550; 34 Boulevard De Montpellier;02220;Braine ;4.65;1.59;1.55;;;;1.25
551; 34 Rue De St Brieuc;22170;Châtelaudren-Plouagat ;4.65;1.59;1.55;2.45;2.95;1.99;
552; 34-36 Av De Sainte Menehould;51000;Châlons-en-Champagne ;5.15;1.79;1.9;2.79;;2.4;1.29
553; 34-36 Rue Notre Dame;35270;Combourg ;5.72;2.33;2.02;;3.49;;1.43
554; 35 Avenue Edouard Vaillant;92150;Suresnes ;5.54;;2.16;;3.66;;1.64
555; 35 Avenue Felix Faure;06500;Menton ;5.26;2.01;2.03;2.95;3.38;2.2;
556; 35 Rue De Jussieu;75005;Paris ;5.54;2.03;2.16;2.85;3.66;2.32;1.64
557; 35 Rue De La Republique;76000;Rouen ;5.88;2.33;2.11;;;;1.91
558; 35 Rue De La Vallee;76600;Le Havre ;4.65;1.59;1.55;;2.85;2.15;
559; 35 Rue De Montifault;22150;Ploeuc-L'hermitage ;4.65;1.59;1.54;2.45;2.99;1.99;1.25
560; 35 Rue Denis Papin;76580;Le Trait ;4.65;1.59;1.43;;2.99;2.15;1.25
561; 35 Rue Luizet;69130;Écully ;;2.01;2.01;2.95;2.99;2.2;1.52
562; 35-37 Rue Varsovie;31300;Toulouse ;;1.9;;2.58;3.18;2.2;1.39
563; 35/37 Rue Argentiers;33000;Bordeaux ;5.1;1.9;2.02;;3.18;2.2;1.39
564; 36 Avenue Du General Leclerc;60260;Lamorlaye ;5.5;;2.12;2.94;3.57;2.39;
565; 36 Avenue Franklin Roosevelt;77210;Avon ;4.6;1.59;1.55;2.21;2.99;2.15;
566; 36 Boulevard Des Pyrenees;64130;Mauléon-Licharre ;4.65;1.59;1.55;2.21;2.95;1.99;
567; 36 Route De Bayonne Purpan;31000;Toulouse ;4.6;1.59;1.55;2.29;;1.99;1.25
568; 36 Rue Geiler;67000;Strasbourg ;5.29;1.85;1.99;;3.19;2.5;1.35
569; 36-44 Rue De Wattignies 0;75012;Paris ;6.03;2.03;2.16;;;2.32;1.64
570; 360 Rue Leonard De Vinci;84120;Pertuis ;;1.49;1.55;2.21;2.89;1.99;1.25
571; 362 Av De La Course Landaise;40360;Pomarez ;4.87;1.87;1.8;;2.92;2.1;1.25
572; 365 Rue De Vaugirard;75015;Paris -Vaugirard 365 ;5.67;2.03;2.16;2.85;3.66;2.31;1.64
573; 36bis Cours Mal Juin;33000;Bordeaux ;5.18;;2.1;2.64;;;
574; 37 Avenue D'essomes;02400;Château-Thierry ;4.6;1.49;1.59;2.39;3.9;1.99;1.25
575; 37 Grande Rue De Vaise;69009;Lyon -Vaise ;5.77;2.15;2.07;3.13;3.72;;1.58
576; 37 R. De La Sommevue;08360;Château-Porcien ;;1.79;1.9;2.79;3.05;2.4;
577; 37 Rue Lacepede;75005;Paris ;5.54;2.03;2.16;2.85;3.66;2.32;1.64
578; 37 Rue President Jf Kennedy;02100;Saint-Quentin ;5.77;1.49;1.55;2.29;2.89;2.15;1.25
579; 37 Rue Raymond Poincare 0;10000;Troyes ;5.29;1.85;1.99;;3.19;2.5;1.35
580; 37 Ter Avenue Jean Guiton;17000;La Rochelle ;5.21;2.21;;2.74;;2.38;1.3
581; 38 Avenue St Julien;08000;Charleville-Mézières ;5.15;1.79;1.9;;3.05;2.4;1.29
582; 38 Boulevard Pasteur;94260;Fresnes ;5.39;1.84;1.99;;2.99;;1.45
583; 38 Route De Rue;80150;Crécy-en-Ponthieu ;4.85;2.0;1.7;;2.97;2.08;1.22
584; 38 Rue De Cambrai;62000;Arras ;5.01;1.75;1.9;2.59;;2.35;1.25
585; 38 Rue Du General Rambeaud;38500;Voiron ;4.79;1.65;1.46;;2.99;2.39;1.35
586; 38 Rue Du Marechal Foch;67730;Châtenois ;5.85;;2.1;3.39;3.6;2.75;
587; 39 Allee Des Fontainiers;04000;Digne-les-Bains ;5.26;2.01;;2.95;3.38;2.2;1.52
588; 39 Av General Leclerc;94700;Maisons-Alfort ;5.45;1.92;2.04;2.7;;2.17;1.3
589; 39 Boulevard De Groslay Zi De La Guenaudiere;35300;Fougères ;4.6;1.59;1.55;2.39;2.99;2.15;1.25
590; 39 Rue Nationale;57660;Hellimer ;5.65;;2.1;;2.99;2.65;
591; 39/43 Avenue Parmentier 0;75011;Paris ;5.54;2.03;;;;;1.64
592; 390 Rue Jean Marie Tjibaou Zi De Courtine;84000;Avignon ;4.6;1.45;1.55;;2.89;1.89;1.15
593; 3c Rue Principale;67290;Wingen-sur-Moder ;5.15;;1.9;2.95;2.99;2.4;1.29
594; 4 Avenue Du Petit Montrevault Les 4 Routes;49110;St Pierre Montlimart ;4.65;1.59;1.55;2.45;2.99;4.18;1.25
595; 4 Avenue Yves Bessodes;30510;Générac ;;1.59;1.59;2.21;2.99;;
596; 4 Boulevard Du 122eme R.I.;12000;Rodez ;;1.9;2.02;;;2.15;1.29
597; 4 Chemin De L'ormeau;31770;Colomiers ;4.65;1.49;1.55;;2.85;1.99;1.25
598; 4 Impasse Des Graviers Le Boutoin;28410;Abondant ;4.89;2.09;1.76;;2.99;2.23;
599; 4 Place De La Republique;77300;Fontainebleau ;5.39;1.96;2.09;2.85;3.58;2.25;1.6
600; 4 Place De La Vanoise;73140;Saint-Michel-de-Maurienne ;4.65;1.65;1.54;2.45;2.99;;
601; 4 Place Delille;63000;Clermont-Ferrand ;5.14;1.97;1.93;;;2.15;1.51
602; 4 Place Du 4 Septembre;13007;Marseille ;;1.59;1.59;;2.99;2.29;1.25
603; 4 Route De Feurs;42600;Montbrison ;4.75;1.59;1.59;;2.99;2.29;1.35
604; 4 Rue Alphonse Kaar;76790;Étretat ;5.39;2.01;2.01;;;2.2;1.52
