;Adresse;CP;Ville;Nutella;Riz;Pates;Beurre;Caprice des dieux;Papier toilette;Pain de mie
722; 53 Rue Jules Faron;42153;Riorges ;;1.49;1.55;;2.99;2.09;1.25
723; 54 Rue Charles Dumont;21000;Dijon ;5.26;2.01;2.01;;;2.2;1.52
724; 54 Rue Des Entrepreneurs;75015;Paris ;5.54;2.03;1.92;;;2.32;1.64
725; 54-56 Avenue De Framlingham;02380;Coucy-le-Château-Auffrique ;5.48;2.24;;3.17;3.6;;
726; 54/56 Rue De Bernieres;14000;Caen ;5.09;2.16;1.84;2.67;2.99;2.32;
727; 55 Chemin De La Bouyere Cc Toulon Ouest;83190;Ollioules ;;1.65;1.59;2.29;2.99;2.39;
728; 55 Route De Nimes;30230;Bouillargues ;4.99;1.96;1.97;2.76;3.08;2.12;
729; 56 Avenue St Jean Du Desert;13012;Marseille ;5.77;;2.11;3.13;;;
730; 56 Route De Cosne;58310;Saint-Amand-en-Puisaye ;4.89;1.93;1.88;2.72;2.99;2.07;1.3
731; 57 Av Jean Jaures;93300;Aubervilliers ;;1.96;2.09;;3.58;;1.6
732; 57 Avenue Jean Rieux;31000;Toulouse ;4.65;1.65;;;;;1.35
733; 57 Rue Du Transvaal;21000;Dijon ;5.26;;;;3.38;;1.52
734; 57 Rue Nationale;57600;Forbach ;5.19;;1.95;3.0;3.2;;1.3
735; 57-59 Rue Delerue;94100;Saint-Maur-des-Fossés ;;1.65;1.65;2.21;3.19;2.39;1.35
736; 57/61 R Esquermoise;59000;Lille ;5.13;2.14;1.82;;3.25;2.21;1.3
737; 58 Rue De La Boetie;75008;Paris ;5.67;;2.21;;3.78;2.41;
738; 58 Rue Morel;59500;Douai ;5.13;2.14;;;;2.21;1.3
739; 59 Rue De La Barre;76200;Dieppe ;5.15;;;2.85;;2.32;
740; 59 Rue De La Mer;14470;Courseulles-sur-Mer ;5.09;2.16;1.94;;3.1;2.32;1.27
741; 59 Rue Des Bons Raisins;92500;Rueil-Malmaison ;4.65;1.65;1.59;2.35;3.15;2.29;1.29
742; 59 Rue Haute St Paterne;36100;Issoudun ;4.65;1.59;;;2.99;2.15;1.25
743; 596 Avenue De Trevoux Route Nationale;01000;Saint-Denis-lès-Bourg ;;1.59;1.55;2.39;2.89;1.99;1.25
744; 5b R Aristide Briand;68460;Lutterbach ;5.5;;2.05;3.19;;2.59;1.39
745; 6 Allee De Gascogne;31470;Fonsorbes ;4.65;1.49;1.55;;2.89;1.79;1.25
746; 6 Avenue De Boufflers;54000;Nancy ;5.85;;2.1;3.15;3.5;2.75;
747; 6 Avenue De L'europe Zac De Venette;60280;Venette ;4.6;1.49;1.55;2.29;2.89;1.99;1.25
748; 6 Avenue De La Gare;78970;Mézières-sur-Seine ;4.79;1.65;1.49;2.21;2.99;2.39;1.29
749; 6 Avenue Pasteur;76000;Rouen ;5.09;2.16;1.6;;3.1;2.32;1.27
750; 6 Pl Du Schluthfeld 1 Rue St Ehrard;67000;Strasbourg ;;1.79;1.95;2.69;3.1;2.45;1.3
751; 6 Place Alexandre Laissac;34000;Montpellier ;5.41;2.09;2.03;2.99;2.99;2.26;1.55
752; 6 Place De La Halle;15250;Naucelles-Reilhac ;5.44;2.06;2.05;2.93;3.48;2.28;1.46
753; 6 Place Du Cedre;51390;Gueux ;5.65;1.95;2.1;3.05;3.39;;1.4
754; 6 Rue Balzac;30133;Les Angles ;4.65;1.59;1.43;2.21;;2.15;1.25
755; 6 Rue Claudius Rougenet Chateau De L'hers;31500;Toulouse ;4.65;1.59;1.55;;2.99;2.09;1.25
756; 6 Rue De Beaubourg;75004;Paris ;5.54;2.03;2.16;2.85;3.66;2.32;1.64
757; 6 Rue De Bievres;92140;Clamart ;;;;2.85;;2.32;
758; 6 Rue De Chatillon Espace Valentin;25480;École-Valentin ;4.6;1.59;1.55;;2.89;2.15;1.29
759; 6 Rue De L'abbe Fx Scherer;67000;Strasbourg ;5.65;;2.1;;;2.65;1.4
760; 6 Rue De La Craffe;54000;Nancy ;5.85;1.95;2.1;;3.6;;1.45
761; 6 Rue De La Sabliere;75014;Paris ;;1.87;;;3.82;;1.52
762; 6 Rue De Remusat;75016;Paris ;5.54;2.03;2.16;;3.66;2.32;1.64
763; 6 Rue De Senives;45300;Pithiviers ;5.45;1.92;;2.7;2.99;2.22;
764; 6 Rue Du Docteur Massenat;19110;Brive ;5.18;1.96;2.1;2.64;3.26;;1.42
765; 6 Rue Du Faubourg De Conde Le Chapeau Fort;51210;Montmirail ;4.65;1.49;;;2.89;1.89;1.25
766; 6 Rue Du General De Gaulle;56370;Sarzeau ;5.21;2.21;1.84;2.74;3.17;2.38;1.3
767; 6 Rue Ernest Gaugiran;41600;Lamotte-Beuvron ;4.65;1.59;;2.2;2.85;2.15;1.25
768; 6 Rue Georges Simenon;83400;Hyères ;4.65;1.59;1.55;;2.99;2.15;1.29
769; 6 Rue Jean Varin;76560;Doudeville ;4.79;1.65;1.43;;2.99;2.29;1.35
770; 6 Rue Meynadier;06400;Cannes ;4.65;1.65;1.49;2.33;2.99;2.59;1.39
771; 6 Rue St Fuscien;80000;Amiens ;5.13;2.14;1.82;2.48;3.25;;1.3
772; 6 Ter Avenue Division Leclerc;54540;Badonviller ;5.65;;2.1;3.05;;;1.4
773; 6-8-10 Avenue Carnot;44000;Nantes ;5.09;;1.84;;3.1;;1.48
774; 60 Place Duroc;54700;Pont-à-Mousson ;5.19;1.79;;2.8;3.1;2.45;1.3
775; 60 Rue De Stenay Cc Centre Avenir;93700;Drancy ;;1.65;1.55;2.29;2.99;2.15;1.25
776; 61 Route De Bretagne Cc Boissiere;61250;Condé-sur-Sarthe ;4.6;1.49;1.55;2.39;2.89;1.99;1.25
777; 61 Rue Des Grebes Huppes Za Les Bordets;74130;Bonneville ;;1.59;1.55;2.45;2.99;2.15;1.29
778; 615 Route De Chambery;73170;Yenne ;4.75;1.59;1.59;2.49;2.99;2.29;1.25
779; 62 Bis Rue De Dierville;62116;Bucquoy ;5.01;2.07;1.76;2.87;;2.13;1.28
780; 62 Route Nationale 23 Cc La Boule D'or;72330;Cérans-Foulletourte ;4.65;1.59;;2.45;2.99;2.09;1.35
781; 63 Avenue Des Vosges;67000;Strasbourg ;5.29;1.85;1.99;2.75;;2.5;1.35
782; 63 Avenue Du General De Gaulle 0;15500;Massiac ;;1.96;1.97;2.76;;2.12;
783; 63 Rue De Paris;93100;Montreuil ;5.39;1.96;;;3.58;;1.6
784; 63 Rue Du Luxembourg;57390;Audun-le-Tiche ;4.65;1.59;1.55;2.21;2.99;2.15;1.25
785; 63 Rue Fessart;75019;Paris ;5.54;2.03;;;2.99;;1.64
786; 64 Route D'apremont;73000;Barberaz -Apremont64 ;5.77;2.15;;3.13;3.72;;1.58
787; 64 Rue Champbertrand;89100;Sens -Champbertrand ;4.6;2.07;2.2;;3.6;2.45;
788; 65 Bis Avenue De La France Libre;29000;Quimper ;;2.21;1.89;;3.17;;1.3
789; 65 Place Du Marche;86300;Chauvigny ;5.72;2.33;2.02;2.99;3.49;;
790; 65-67 Route Nationale;60800;Crépy-en-Valois ;5.39;1.96;2.09;2.85;3.58;2.23;1.51
791; 65-75 Bvd Ste Anne;14100;Lisieux ;5.4;2.24;1.95;2.82;3.29;2.47;1.35
792; 655 Rue De Lille;62400;Béthune ;4.65;1.59;1.55;2.45;2.99;2.15;1.25
793; 66 Avenue Aristide Berges;38190;Villard-Bonnot ;5.77;2.15;2.07;3.13;;;1.58
794; 66 Avenue Olivier Heuze;72000;Le Mans ;4.65;1.59;;;2.99;2.29;1.35
795; 66 Boulevard Bordier;95370;Montigny-lès-Cormeilles ;;1.49;1.59;2.29;2.99;2.15;1.29
796; 66 Route Nationale;47290;Cancon ;5.53;;;2.8;3.48;2.4;1.53
797; 66 Voie De La Liberte;57160;Scy-Chazelles ;4.65;1.59;1.55;2.21;2.99;2.15;1.25
798; 67 Avenue Du General Leclerc;92100;Boulogne-Billancourt ;4.65;;1.59;2.33;2.99;2.59;1.39
799; 67 Boulevard De Roux;13004;Marseille ;5.1;1.79;1.95;;3.1;2.45;1.3
800; 67-81 Avenue De Stalingrad;94800;Villejuif ;;1.59;1.59;2.29;2.99;1.99;1.29
801; 672 Chemin De La Gare;38460;Crémieu ;4.65;1.65;1.59;2.45;2.99;2.29;1.25
802; 672 Rue Du Pas Du Loup 0;34000;Montpellier ;4.99;1.96;1.97;2.76;;2.12;1.33
803; 68 Avenue Camille Pujol;31000;Toulouse -Pujol ;5.1;1.9;;2.58;3.18;2.2;1.31
804; 68 Avenue Des Freres Lumiere;69008;Lyon ;;1.65;1.65;;3.25;2.29;1.35
805; 68 Rue D'estienne D'orves 0;92500;Rueil-Malmaison ;4.65;1.65;1.59;2.21;2.99;2.15;1.25
806; 68 Rue Du Jura;01460;Montréal-la-Cluse ;4.65;1.59;1.59;;2.99;2.29;1.25
807; 683 Av De Lattre De Tassigny;83130;La Garde ;4.99;1.96;;;3.08;2.12;
808; 69 Avenue Louis Cordelet;72000;Le Mans ;4.65;1.59;1.42;2.45;2.99;2.15;1.35
809; 69 Bis Rue Devosge;21000;Dijon -Devosge ;5.77;;;3.13;3.72;;1.58
810; 69 Rue De Clichy;75009;Paris ;5.71;1.87;;;3.82;2.51;1.52
811; 69 Rue De L'enfer;45450;Fay-aux-Loges ;4.89;2.09;1.76;;2.99;2.23;1.23
812; 69 Rue De La Republique;01200;Bellegarde S/Valseri ;;1.59;1.55;;2.85;2.15;1.25
813; 7 Bd Moneghetti;06240;Beausoleil ;5.41;2.09;;2.99;3.5;2.26;1.55
814; 7 Chemin Des Amaryllis;13012;Marseille ;4.75;1.59;1.55;;2.99;2.15;
815; 7 Place Francoise Dorin;75017;Paris ;4.79;;1.59;2.33;3.19;2.29;1.35
816; 7 Place Gabriel Peri 0;30000;Nîmes ;;2.01;2.03;2.95;;2.2;
817; 7 Rampe Du Vieux Bourg;29200;Brest ;5.54;2.07;;2.9;3.6;2.45;1.58
818; 7 Rond-Point De L'esplanade;67000;Strasbourg ;5.29;1.85;;2.7;3.29;;
819; 7 Rue Alsace Lorraine;29160;Crozon ;4.89;2.09;1.76;;2.99;2.23;
820; 7 Rue Carnot;62930;Wimereux ;5.68;2.24;;3.28;3.7;2.44;
821; 7 Rue D'obernai;67000;Strasbourg ;5.29;1.85;;2.89;3.19;2.5;1.35
822; 7 Rue De La Vieille Riviere;50600;Grandparigny ;4.65;1.33;1.39;2.45;;2.15;
823; 7 Rue Du Neubourg;76500;Elbeuf ;4.65;1.49;1.55;2.39;2.89;1.99;1.25
824; 7 Rue Henry Genestal;76600;Le Havre -Genestal ;;2.16;1.84;;3.1;2.32;1.27
825; 7 Rue Lucien Sampaix;75010;Paris ;5.54;;2.21;;3.78;2.41;
826; 7 Rue Mazel;55100;Verdun ;5.85;;2.1;3.15;3.5;2.75;
827; 7 Rue Morins;58320;Pougues-les-Eaux ;4.99;1.96;1.96;2.76;3.12;2.12;1.33
828; 7 Rue Pastre Cc Maourines - Zac De Borderouge;31200;Toulouse ;4.65;1.59;1.45;;2.99;;
829; 7 Rue Paul Verlaine L'ecluse    Zac Pirelli;94410;Saint-Maurice ;4.65;;1.65;;2.99;2.39;1.35
830; 7-9-11 Rue D'orange Belle De Mai;13003;Marseille ;4.79;1.65;1.59;2.21;2.99;2.29;1.25
831; 70 Boulevard Marx Dormoy;93190;Livry-Gargan ;4.6;1.59;1.55;;2.99;2.09;
832; 70 Rue De Longvic;21000;Dijon ;5.77;2.15;2.1;3.13;3.72;2.42;1.58
833; 71 Bis Jean Jaures;31150;Fenouillet ;5.68;2.07;2.2;;3.6;2.45;1.58
834; 71 Rue De Rennes;75006;Paris ;5.54;2.03;2.16;2.85;3.66;2.32;1.64
835; 71-73 Route De Fronton;31140;Aucamville ;5.18;1.96;2.1;;3.26;2.25;1.42
836; 71/85 Avenue De Pessicart;06100;Nice ;4.79;1.86;1.49;;2.99;2.59;1.39
837; 72 76 Rue Chateau Des Rentiers;75013;Paris ;5.75;2.15;2.25;;;2.4;1.7
838; 72 Avenue De Grande Bretagne;31300;Toulouse ;5.68;2.07;2.2;2.9;;;
839; 72 Avenue Schuman Galerie Europe;59370;Mons-En-Baroeul ;5.13;2.14;1.82;2.98;;2.21;1.3
840; 72 Route De Paris;72470;Saint-Mars-la-Brière ;4.99;2.14;1.8;;;2.29;
841; 73 Boulevard Saint Marcel;13011;Marseille ;4.99;1.96;1.97;2.76;3.08;2.12;1.33
842; 73 Route Des Camoins;13011;Marseille ;;;1.85;2.83;3.15;2.17;1.34
843; 73 Rue De Mirande;21000;Dijon ;;2.15;;3.13;;;
844; 74 Avenue Pablo Picasso;92000;Nanterre ;4.65;1.59;;;2.99;;1.25
845; 75 Avenue Du 15e Corps D'armee;83000;Toulon -15e Corps 75 ;5.77;2.15;;3.13;3.72;;
846; 75 Bis Rue Jean Jaures;59221;Bauvin ;4.65;1.65;1.59;2.45;2.99;2.29;1.25
847; 75 Rue Frederic Bellanger;76600;Le Havre ;4.79;1.65;1.45;2.49;2.99;;1.35
848; 75 Rue Monte Cristo;13004;Marseille ;5.26;2.01;2.01;2.95;3.38;2.2;1.52
849; 75 Rue Riquet;75018;Paris ;5.54;2.03;;;;2.32;1.64
850; 76 Av De Republique Lieudit Les Vergnades;07110;Largentière ;4.99;1.96;1.97;2.76;3.08;2.12;1.33
851; 76 Avenue Du General De Gaulle;56100;Lorient ;5.09;2.16;1.84;;3.1;;1.27
852; 76 Rue Georges Clemenceau;10000;Troyes -Clemenceau ;;1.95;2.1;;3.39;2.65;
853; 76/78av Ch.De Gaulle;92350;Le P. Robinson ;5.54;2.03;2.16;2.85;3.66;2.32;1.64
854; 760 Avenue Du Marechal Juin Cc Barbe D'or;40000;Mont-de-Marsan ;4.6;1.59;1.45;2.39;2.89;1.89;1.25
855; 760 Avenue General De Gaulle;30390;Aramon ;5.29;2.07;1.76;2.87;3.07;2.13;1.28
856; 77 Bld Du General De Gaulle;59100;Roubaix -De Gaulle ;5.13;2.14;1.82;;;2.21;1.3
857; 77 Bld Jean Jaures;59210;Coudekerque-Branche ;5.13;2.14;1.82;2.98;3.25;2.21;1.3
858; 77 Rue Charles Keller;54000;Nancy ;5.09;;1.9;;3.05;2.4;
859; 77/79 Boulevard Davout;75020;Paris ;5.09;;;;3.66;2.32;1.64
860; 78 Avenue Du General De Gaulle Cc Mail;78140;Vélizy-Villacoublay ;4.65;1.65;1.59;;2.99;2.29;1.35
861; 78 Boulevard Napoleon Iii;06200;Nice ;5.26;2.01;2.03;2.95;3.38;2.2;1.46
862; 78 Rue Des Peupliers;03300;Cusset ;;1.59;;2.81;2.99;1.99;1.25
863; 79 Avenue De La Liberation;60260;Lamorlaye ;4.65;1.59;;;2.99;2.09;1.25
864; 79 Bis Rue Sadi Carnot;59129;Avesnes-les-Aubert ;4.75;1.59;1.55;2.45;2.99;2.15;
865; 79 Rue Chabot Charny 0;21000;Dijon ;;2.15;;;3.72;;1.58
866; 8 Avenue Alphonse Pacifique;81160;Saint-Juéry ;4.65;1.59;1.55;2.21;2.99;2.09;1.25
867; 8 Avenue Jean Moulin;87400;Saint-Léonard-de-Noblat ;4.65;1.59;;2.21;2.99;2.09;1.29
868; 8 Boulevard Alsace Lorraine 0;64100;Bayonne ;4.97;1.9;2.02;;2.99;2.15;1.29
869; 8 Boulevard Voltaire Zac La Mabilais;35000;Rennes ;5.09;1.79;;2.8;3.1;2.45;1.3
870; 8 Place De L'hotel De Ville;14230;Isigny-sur-Mer ;4.65;1.59;1.55;2.45;2.99;2.09;1.25
871; 8 Place De La Nation Zac De La Galathee;95170;Deuil-la-Barre ;5.27;1.84;1.99;2.58;;2.12;1.35
872; 8 Place Du Chene Vert;79140;Cerizay ;5.11;2.16;1.88;;;;
873; 8 Place Joseph Schaff 0;57950;Montigny-lès-Metz ;5.19;1.79;1.95;;3.1;2.45;1.3
874; 8 Route De Voulx;89100;Sens ;4.6;1.49;1.59;2.45;;1.89;1.25
875; 8 Rue Carnot;38430;Moirans ;4.79;1.65;1.54;;2.99;;
876; 8 Rue De Belleville;75020;Paris ;5.54;;;;;;
877; 8 Rue De L'industrie;01150;Lagnieu ;;1.59;1.55;;2.99;2.09;1.25
878; 8 Rue De La Souaberie;25200;Montbéliard ;5.65;;2.1;2.89;3.5;;1.4
879; 8 Rue Du Faubourg St Martin;75010;Paris ;5.54;;2.16;2.85;3.66;2.32;1.64
880; 8 Rue Du Marche;82410;St-Etienne-Tulmont ;4.87;1.87;1.99;2.45;2.99;2.1;1.25
881; 8 Rue Emile Jamais;30900;Nîmes ;5.26;2.01;2.03;;3.38;2.2;1.52
882; 8 Rue Jean Jaures;64230;Lescar ;4.6;1.49;1.55;;2.95;1.89;1.25
883; 8 Rue Notre Dame;33000;Bordeaux ;5.18;;2.1;;3.26;2.25;1.42
884; 8 Rue Notre Dame De Lorette;75009;Paris ;5.54;2.03;2.16;2.85;3.66;2.32;1.64
885; 8-10 Rue De Dinard;35730;Pleurtuit ;;2.16;;;3.1;;1.48
886; 8-10 Rue De L'ermitage;85670;St Christophe Ligner ;5.72;2.33;;;3.49;;
887; 8-14 Rue Du Professeur Langevin;59170;Croix ;5.13;2.14;;;3.25;;1.3
888; 80 Avenue D'albi Borie De La Croix;12170;Réquista ;4.65;;1.55;;2.95;1.99;1.25
889; 80 Avenue St Jean D'angely;79000;Niort ;4.65;1.59;1.39;2.21;2.95;1.99;1.25
890; 80 Boulevard Maxime Gorki Le Globe;93240;Stains ;;1.59;1.59;2.39;2.99;2.15;1.35
891; 80 Rue Francois Chenieux;87000;Limoges -Chenieux ;5.72;2.33;;2.99;;;1.43
892; 809 Route De Nice Rn7;06600;Antibes ;4.65;1.65;1.59;;2.99;2.59;1.35
893; 81 Avenue Des Minimes;31200;Toulouse ;5.1;;;;;;1.39
894; 81 Route Nationale;59152;Chéreng ;5.13;2.14;1.82;2.98;3.25;2.18;1.3
895; 81 Rue Du General Sarrail;10000;Troyes ;5.85;1.95;2.1;;3.5;2.75;1.45
896; 82 Cours Balguerie Stuttenberg;33300;Bordeaux ;5.18;1.96;1.9;;;2.25;1.42
897; 82 Rue De La Roquette;75011;Paris ;;;;;;;
898; 82 Rue Gambetta;51100;Reims ;4.65;1.59;1.59;;2.99;2.15;1.25
899; 83 Boulevard Silvio Trentin;31200;Toulouse ;4.65;1.59;1.43;;2.99;2.15;1.25
900; 83 Chaussee D Papin;59200;Tourcoing ;5.13;2.14;1.82;2.98;3.25;;
901; 84 Rue De La Republique;84200;Carpentras ;5.26;2.01;2.03;2.95;;2.2;
902; 84 Rue De Lille;59280;Armentières ;5.13;2.14;1.82;;3.25;;1.3
903; 84 Rue Nd Des Champs;75006;Paris ;5.54;2.03;2.16;2.85;3.66;2.32;1.64
904; 85 Avenue Du Maine;75014;Paris ;5.54;2.03;2.16;2.85;3.52;2.32;1.64
905; 85 Route De Provins Cc Pincevent;94490;Ormesson-sur-Marne ;;1.59;1.59;2.29;2.95;2.15;1.29
906; 85 Rue Raymond Poincare 0;54136;Bouxières-aux-Dames ;4.6;2.07;1.76;;;2.13;1.28
907; 86 Avenue De Clichy;75017;Paris ;5.54;2.08;;;3.78;2.41;1.69
908; 86 Avenue De Verdun;77470;Trilport ;4.65;1.59;1.55;;2.99;2.09;1.25
909; 86 Route De La Reine;92100;Boulogne-Billancourt ;;2.03;;;;2.32;1.64
910; 86 Route De Plappeville;57050;Le Ban-Saint-Martin ;5.19;1.79;1.95;;3.1;2.45;1.3
911; 87 Route De Meurchin;62410;Wingles ;4.65;1.49;1.55;;2.89;2.15;1.25
912; 87 Rue Jean Monet;87570;Rilhac-Rancon ;4.89;2.09;1.76;;2.99;2.23;1.23
913; 87 Rue Sainte;13007;Marseille ;5.43;;1.75;2.8;;2.25;
914; 878 Avenue De Dunkerque 0;59160;Lomme ;5.02;2.07;1.76;2.91;3.2;2.16;1.27
915; 88 Avenue Du Chater;69340;Francheville ;;1.65;1.59;;3.15;2.29;1.35
916; 88 Rue De Paris;77140;Nemours ;5.32;1.77;1.82;;;2.16;1.3
917; 88 Rue Du Faubourg Madeleine;45000;Orléans ;4.65;1.59;1.42;2.21;2.95;4.3;1.25
918; 89 Avenue Du General De Gaulle;73200;Albertville ;4.65;1.59;1.43;;2.99;2.15;1.29
919; 89 Route De Toulouse;31190;Auterive ;4.65;1.49;1.55;2.21;2.99;2.09;1.25
920; 9 Avenue Charles Bohn;90000;Belfort ;4.65;1.59;1.55;2.21;2.99;2.09;1.25
921; 9 Avenue D'espagne;64600;Anglet -Espagne ;5.68;2.07;;2.9;3.6;;1.58
922; 9 Avenue De La Division Leclerc;94230;Cachan ;4.9;1.69;1.65;;2.99;;1.29
923; 9 Avenue Du Cardinal Verdier;12600;Mur-de-Barrez ;4.97;1.9;2.02;2.26;2.99;2.25;1.29
924; 9 Avenue Du General De Gaulle;21200;Beaune ;;1.49;1.55;;;2.29;1.25
925; 9 Avenue Montaigne Rn1;60000;Beauvais ;4.6;1.49;1.55;2.39;2.99;1.89;
926; 9 Avenue Thiers;61600;La Ferté Macé ;5.11;2.16;1.88;2.71;2.99;2.34;1.29
927; 9 Place De La Republique;36200;Argenton-sur-Creuse ;5.09;2.16;1.84;;3.1;;1.27
928; 9 Place Du Champ De Ville;27400;Louviers ;4.65;1.59;1.42;;2.99;2.29;1.29
929; 9 Place Levi Strauss;30000;Nîmes ;5.26;2.01;2.03;;3.38;;1.52
930; 9 Rue Brezin;75014;Paris ;5.54;2.03;2.16;2.85;3.66;2.32;1.64
931; 9 Rue Buffault;75009;Paris ;5.8;2.08;;;3.78;2.41;1.69
932; 9 Rue De L'hopital;54590;Hussigny-Godbrange ;5.5;1.89;;;3.3;2.59;1.39
933; 9 Rue Du Marechal Foch;22430;Erquy ;4.99;2.14;1.8;;;2.29;1.26
934; 9 Rue Du Pont Aux Juifs;28210;Nogent-le-Roi ;4.75;1.59;1.59;;2.99;2.15;
935; 9 Rue Gambetta;08200;Sedan ;5.54;2.03;2.16;2.85;3.91;2.32;1.64
936; 9 Rue Hoogheporte;59180;Cappelle-la-Grande ;;1.59;1.49;2.45;2.99;2.29;1.35
937; 9/11 Rue Ernest Renan;92130;Issy-les-Moulineaux ;5.54;2.03;2.16;2.85;3.66;2.32;1.64
938; 90 Route De Bonneville;74100;Annemasse ;;1.59;1.55;;2.99;;1.25
939; 91 Boulevard Saint Michel;49100;Angers ;;2.16;;2.67;3.1;2.32;1.27
940; 91 Rue De Boucicaut;92260;Fontenay-aux-Roses ;4.79;1.65;1.65;2.28;2.99;2.59;1.35
941; 92-94 Bld Baille;13005;Marseille ;5.34;2.09;2.09;2.95;3.38;;1.59
942; 93 Avenue Du Bac;94210;Saint-Maur-des-Fossés ;5.28;2.14;1.82;2.98;3.25;2.21;1.3
943; 93 Avenue Du General De Gaulle;18200;Saint-Amand-Montrond ;4.65;1.49;;;2.85;3.58;1.25
944; 93 Rue Jean Jaures;44400;Rezé ;;2.21;1.89;;3.17;;
945; 93 Rue Nationale;85280;La Ferrière ;4.99;2.14;1.8;;3.06;2.29;1.26
946; 94 Rue Saint Louis;62200;Boulogne-sur-Mer ;5.02;2.07;1.76;;;;1.27
947; 940 Avenue De Verdun;62600;Berck ;;1.49;1.55;2.39;2.89;1.89;1.25
948; 97 Avenue St Georges;89000;Auxerre ;4.65;1.59;;;2.99;2.15;1.25
949; 97 Grande Rue - Aiguebelle;73220;Aiguebelle ;5.13;2.01;1.98;2.95;3.38;2.2;1.52
950; 976 Avenue Rhin Et Danube;06140;Vence ;4.99;1.96;1.97;2.76;2.99;2.12;1.33
951; 98 Avenue De Chazeuil;03150;Varennes-sur-Allier ;4.65;1.59;;;2.99;2.15;1.25
952; 99 Boulevard Cognehors;17000;La Rochelle ;4.65;1.59;1.59;;2.99;;1.25
953; 9pl D/L Motte Rouge;17000;La Rochelle ;5.21;2.21;1.89;2.74;3.17;;1.3
954; 9plce Mchal Delattre De Tassigny;68800;Thann ;5.85;1.95;2.1;3.15;3.5;;1.45
955; Allee Croix Chemin De Genevoix;64240;Urt ;;1.59;1.39;2.21;2.89;1.99;1.25
956; Allee De Fonchenille;63360;Gerzat ;4.65;1.49;;;2.89;1.89;1.25
957; Allee De Kerletu Keryado     Cc K2;56100;Lorient ;4.6;1.45;1.55;2.39;2.95;1.89;1.25
958; Allee De L'europe Parc D'activite Du Castel;60500;Chantilly ;4.65;1.59;;;2.89;1.99;1.25
959; Allee De Marveille;09350;Les Bordes-sur-Arize ;;1.96;1.97;2.76;3.08;2.12;1.33
960; Allee Des Jardins De Valmont 132 Avenue Anatole France;59410;Anzin ;4.65;1.49;1.55;;2.85;1.99;
961; Allee Du Preambule Cc Carre Senart;77127;Lieusaint ;4.6;1.65;1.59;2.35;3.19;2.39;
962; Allee Du Sainfoin;70600;Champlitte ;5.15;;;;;;
963; Angle Bd Henri Marti;02100;Saint-Quentin ;5.12;2.07;1.76;;3.2;2.16;
964; Av Des Pyrenees;32300;Mirande ;4.65;1.59;1.39;;2.99;;1.25
965; Av Marechal Juin;64200;Biarritz ;;2.07;;2.9;3.6;2.45;1.58
966; Av. Marechal Joffre;66120;Font-Romeu-Odeillo-Via ;5.2;1.96;2.09;2.6;3.13;2.24;1.35
967; Av.Julian Grimau;40220;Tarnos ;5.18;1.96;2.1;;3.26;;1.42
968; Avenue Blaise Pascal Zi Les Sables;91420;Morangis ;4.6;1.59;1.55;2.21;2.99;;
969; Avenue Bonneveaux Pres Base De Loisirs;91150;Étampes ;4.6;1.49;1.55;2.29;2.99;2.15;
970; Avenue Charles De Gaulle Zac Gray Sud;70100;Gray ;4.65;1.49;1.45;2.21;2.95;1.89;1.25
971; Avenue Charles De Refuge Cc St Andre;10120;Saint-André-les-Vergers ;4.6;1.59;1.55;;;2.15;1.35
972; Avenue Charles Wallyn;59123;Bray-Dunes ;5.01;2.07;1.76;;2.99;2.13;1.28
973; Avenue Colbert;58000;Nevers ;4.65;1.49;;;2.89;1.89;1.25
974; Avenue Corps Franc Pommies Route De Tarbes;32000;Auch ;4.6;1.49;1.55;2.08;2.99;1.69;1.25
975; Avenue D'offenbourg Cc Marjorie;39000;Lons-le-Saunier ;4.65;1.49;1.59;;2.99;2.15;1.25
976; Avenue De Bagneres;65190;Tournay ;4.87;1.87;1.99;;;;
977; Avenue De Bonen Cc Les Rocheres;72230;Mulsanne ;4.65;1.49;1.55;2.45;2.95;;
978; Avenue De Bourgogne;21800;Quetigny ;4.6;1.49;1.55;;2.95;2.29;
979; Avenue De Bretagne Cc Canourgues;13300;Salon-de-Provence ;4.65;1.59;1.55;2.21;2.99;2.09;1.25
980; Avenue De Clermont Cc Riom Sud;63200;Ménétrol ;;1.49;1.55;;;1.99;1.25
981; Avenue De Cocagne Za Du Tambouret;31560;Nailloux ;4.87;1.87;1.99;;2.92;2.1;1.25
982; Avenue De Compiegne;02200;Mercin-et-Vaux ;4.65;1.59;1.55;2.45;2.89;2.15;1.25
983; Avenue De Dompierre;03120;Lapalisse ;4.65;1.59;;;2.89;2.15;1.25
984; Avenue De Fribourg Ile Napoleon;68110;Illzach ;4.6;1.49;1.55;2.39;2.99;2.15;
985; Avenue De L'europe Cc La Rocade;27500;Pont-Audemer ;4.65;1.49;1.55;;2.85;1.99;1.25
986; Avenue De L'europe Les Bocquets;76230;Bois-Guillaume ;4.65;1.59;1.55;;2.95;1.99;1.25
987; Avenue De L'universite Cc Grand Var;83160;La Valette-du-Var ;4.6;1.65;1.59;;2.99;2.39;
988; Avenue De La Flaudaie Cc La Madeleine;35400;Saint-Malo ;4.6;1.49;1.55;2.39;2.89;2.15;1.25
989; Avenue De La Gare;24220;Saint-Cyprien ;4.75;1.92;1.49;2.21;2.99;2.09;1.25
